"File","Name","Nd","Vd","dPgF","Density"
"CDGM-ZEMAX202409.txt","H-ZLAF52A","1.8061","41.016887","-0.0067","4.48"
"CDGM-ZEMAX202409.txt","H-ZLAF52","1.806099","40.945389","-0.005","4.45"
"CDGM-ZEMAX202409.txt","H-ZLAF53B","1.834","37.210555","-0.004","4.54"
"CDGM-ZEMAX202409.txt","H-ZLAF53BGT","1.834","37.210555","-0.004","4.54"
"CDGM-ZEMAX202409.txt","H-ZLAF55D","1.83481","42.725177","-0.0086","4.56"
"CDGM-ZEMAX202409.txt","H-ZLAF55C","1.83481","42.711575","-0.0081","4.73"
"CDGM-ZEMAX202409.txt","H-ZLAF56B","1.8061","33.268324","0.0034","3.79"
"CDGM-ZEMAX202409.txt","H-ZLAF66","1.801","34.966919","0.0016","3.89"
"CDGM-ZEMAX202409.txt","H-ZLAF66GT","1.801","34.966919","0.0016","3.89"
"CDGM-ZEMAX202409.txt","H-ZLAF68C","1.883","40.847465","-0.0084","5.34"
"CDGM-ZEMAX202409.txt","H-ZLAF68N","1.883","39.2182","-0.006","5.17"
"CDGM-ZEMAX202409.txt","H-ZLAF69","1.816","46.5493","-0.0095","5.01"
"CDGM-ZEMAX202409.txt","H-ZLAF69A","1.816","46.556066","-0.0089","5.06"
"CDGM-ZEMAX202409.txt","H-ZLAF71","1.85026","32.297288","0.0024","4.22"
"CDGM-ZEMAX202409.txt","H-ZLAF71AGT","1.85026","32.216801","0.0029","4.42"
"CDGM-ZEMAX202409.txt","H-ZLAF73","1.881","40.161331","-0.008","5.2"
"CDGM-ZEMAX202409.txt","H-ZLAF75A","1.90366","31.31497","0.0029","4.56"
"CDGM-ZEMAX202409.txt","H-ZLAF75B","1.90366","31.418411","0.0021","4.56"
"CDGM-ZEMAX202409.txt","H-ZLAF75C","1.90366","31.357126","0.0034","4.54"
"CDGM-ZEMAX202409.txt","H-ZLAF76","1.85013","30.055517","0.0056","3.98"
"CDGM-ZEMAX202409.txt","H-ZLAF76A","1.85013","30.012319","0.0052","4.31"
"CDGM-ZEMAX202409.txt","H-ZLAF78B","1.90069","37.050531","-0.0046","4.95"
"CDGM-ZEMAX202409.txt","H-ZLAF89L","1.95375","32.30879","-0.0001","5.1"
"CDGM-ZEMAX202409.txt","H-ZLAF89LA","1.95375","32.276235","-0.0001","4.93"
"CDGM-ZEMAX202409.txt","H-ZLAF90","2.00069","25.425752","0.0117","4.74"
"CDGM-ZEMAX202409.txt","H-ZLAF90A","2.00069","25.458056","0.0117","4.73"
"CDGM-ZEMAX202409.txt","H-ZLAF91","2.001","29.151347","0.0039","5.14"
"CDGM-ZEMAX202409.txt","H-ZLAF92","2.0033","28.316305","0.0057","5.02"
"CDGM-ZEMAX202409.txt","H-ZLAF92A","2.0033","28.275906","0.0057","4.91"
"CDGM-ZEMAX202409.txt","H-ZLAF96","2.0509","26.985858","0.0061","5.29"
"CDGM-ZEMAX202409.txt","H-TF3L","1.6134","44.107022","-0.005","2.8"
"CDGM-ZEMAX202409.txt","H-TF5","1.6541","39.539424","-0.0059","3.01"
"CDGM-ZEMAX202409.txt","D-FK61","1.497","81.611615","0.0322","3.9"
"CDGM-ZEMAX202409.txt","D-FK61-25","1.49653","81.531772","0.0321","3.9"
"CDGM-ZEMAX202409.txt","D-FK61A","1.497","81.605419","0.031","3.68"
"CDGM-ZEMAX202409.txt","D-FK61A-25","1.49665","81.549116","0.0309","3.68"
"CDGM-ZEMAX202409.txt","D-FK95","1.4378","94.523389","0.0487","3.52"
"CDGM-ZEMAX202409.txt","D-FK95-25","1.43744","94.438841","0.0486","3.52"
"CDGM-ZEMAX202409.txt","D-QK3L","1.48749","70.440487","0.0035","2.43"
"CDGM-ZEMAX202409.txt","D-QK3L-25","1.48687","70.417086","0.0033","2.43"
"CDGM-ZEMAX202409.txt","D-K9","1.51633","64.058952","-0.0027","2.41"
"CDGM-ZEMAX202409.txt","D-K9-25","1.51577","63.989637","-0.0029","2.41"
"CDGM-ZEMAX202409.txt","D-K9GT","1.51633","64.058952","-0.0027","2.41"
"CDGM-ZEMAX202409.txt","D-K9GT-25","1.51577","63.989637","-0.0029","2.41"
"CDGM-ZEMAX202409.txt","D-K59","1.5176","63.499991","-0.0025","2.41"
"CDGM-ZEMAX202409.txt","D-K59-25","1.51698","63.4085","-0.0029","2.41"
"CDGM-ZEMAX202409.txt","D-PK3","1.525","70.370578","0.0048","2.65"
"CDGM-ZEMAX202409.txt","D-PK3-25","1.52368","70.274839","0.0047","2.65"
"CDGM-ZEMAX202409.txt","D-ZPK1A","1.62087","63.828532","0.0063","3.69"
"CDGM-ZEMAX202409.txt","D-ZPK1A-25","1.61999","63.763831","0.0062","3.69"
"CDGM-ZEMAX202409.txt","D-ZPK3","1.59419","67.295385","0.0057","3.37"
"CDGM-ZEMAX202409.txt","D-ZPK3-25","1.59327","67.22642","0.0054","3.37"
"CDGM-ZEMAX202409.txt","D-ZPK5","1.5928","68.342024","0.0154","4.29"
"CDGM-ZEMAX202409.txt","D-ZPK5-25","1.59216","68.281511","0.0154","4.29"
"CDGM-ZEMAX202409.txt","D-ZPK7","1.56907","71.304254","0.02","4.36"
"CDGM-ZEMAX202409.txt","D-ZPK7-25","1.56854","71.235367","0.0199","4.36"
"CDGM-ZEMAX202409.txt","D-ZK2","1.58313","59.381686","-0.0033","2.96"
"CDGM-ZEMAX202409.txt","D-ZK2-25","1.58241","59.308255","-0.0035","2.96"
"CDGM-ZEMAX202409.txt","D-ZK2A","1.58313","59.539751","-0.0022","3.09"
"CDGM-ZEMAX202409.txt","D-ZK2A-25","1.58229","59.453631","-0.0024","3.09"
"CDGM-ZEMAX202409.txt","D-ZK2L","1.587","59.600321","-0.0033","2.99"
"CDGM-ZEMAX202409.txt","D-ZK2L-25","1.58625","59.524868","-0.0035","2.99"
"CDGM-ZEMAX202409.txt","D-ZK3","1.58913","61.152901","-0.0053","2.83"
"CDGM-ZEMAX202409.txt","D-ZK3-25","1.58833","61.284362","-0.0039","2.83"
"CDGM-ZEMAX202409.txt","D-ZK3A","1.58913","61.101573","-0.0044","3.01"
"CDGM-ZEMAX202409.txt","D-ZK3A-25","1.58828","61.012484","-0.0046","3.01"
"CDGM-ZEMAX202409.txt","D-ZK3L","1.5917","60.701147","-0.0045","2.84"
"CDGM-ZEMAX202409.txt","D-ZK3L-25","1.5909","60.618517","-0.0046","2.84"
"CDGM-ZEMAX202409.txt","D-ZK21","1.62446","58.207924","-0.0065","2.99"
"CDGM-ZEMAX202409.txt","D-ZK21-25","1.62346","58.115078","-0.0066","2.99"
"CDGM-ZEMAX202409.txt","D-ZK79","1.60886","57.895896","-0.0024","3.19"
"CDGM-ZEMAX202409.txt","D-ZK79-25","1.60809","57.820851","-0.0026","3.19"
"CDGM-ZEMAX202409.txt","D-LAK5","1.6779","54.889665","-0.0067","3.37"
"CDGM-ZEMAX202409.txt","D-LAK5-25","1.67686","54.805426","-0.0069","3.37"
"CDGM-ZEMAX202409.txt","D-LAK6","1.69384","53.128245","-0.0082","3.5"
"CDGM-ZEMAX202409.txt","D-LAK6-25","1.69281","53.049215","-0.0083","3.5"
"CDGM-ZEMAX202409.txt","D-LAK52","1.7305","53.944268","-0.0083","4"
"CDGM-ZEMAX202409.txt","D-LAK52-25","1.72924","53.851219","-0.0084","4"
"CDGM-ZEMAX202409.txt","D-LAK70","1.6691","55.389689","-0.0066","3.35"
"CDGM-ZEMAX202409.txt","D-LAK70-25","1.668","55.295752","-0.0067","3.35"
"CDGM-ZEMAX202409.txt","D-ZF10","1.68893","31.077677","0.007","2.84"
