"Name","Series","Family","Number","Suffix","Dash","At","Star","File","Nd","Vd"
"H-LAK10","H","LAK","10","",,,,"NHG202501.txt","1.651131","55.865006"
"S-LAK11","S","LAK","11","",,,,"NHG202501.txt","1.650999","56.20998"
"H-LAK11","H","LAK","11","",,,,"NHG202501.txt","1.650999","56.20998"
"S-LAK12","S","LAK","12","",,,,"NHG202501.txt","1.69679","56.185558"
"H-LAK12","H","LAK","12","",,,,"NHG202501.txt","1.69679","56.185558"
"S-LAK50A","S","LAK","50","A",,,,"NHG202501.txt","1.651597","58.394259"
"H-LAK50A","H","LAK","50","A",,,,"NHG202501.txt","1.651597","58.394259"
"S-LAK51","S","LAK","51","",,,,"NHG202501.txt","1.696796","55.43873"
"H-LAK51","H","LAK","51","",,,,"NHG202501.txt","1.696796","55.43873"
"S-LAK51A","S","LAK","51","A",,,,"NHG202501.txt","1.696805","55.509508"
"H-LAK51A","H","LAK","51","A",,,,"NHG202501.txt","1.696805","55.509508"
"S-LAK52","S","LAK","52","",,,,"NHG202501.txt","1.729154","54.641724"
"H-LAK52","H","LAK","52","",,,,"NHG202501.txt","1.729154","54.641724"
"S-LAK53A","S","LAK","53","A",,,,"NHG202501.txt","1.754998","52.309243"
"H-LAK53A","H","LAK","53","A",,,,"NHG202501.txt","1.754998","52.309243"
"S-LAK53B","S","LAK","53","B",,,,"NHG202501.txt","1.755004","52.349145"
"H-LAK53B","H","LAK","53","B",,,,"NHG202501.txt","1.755004","52.349145"
"S-LAK54","S","LAK","54","",,,,"NHG202501.txt","1.733998","51.014759"
"H-LAK54","H","LAK","54","",,,,"NHG202501.txt","1.733998","51.014759"
"S-LAK61","S","LAK","61","",,,,"NHG202501.txt","1.740992","52.710509"
"H-LAK61","H","LAK","61","",,,,"NHG202501.txt","1.740992","52.710509"
"S-LAK68","S","LAK","68","",,,,"NHG202501.txt","1.677894","50.698751"
"H-LAK68","H","LAK","68","",,,,"NHG202501.txt","1.677894","50.698751"
"H-LAK72","H","LAK","72","",,,,"NHG202501.txt","1.724","52.497051"
"S-LAK72","S","LAK","72","",,,,"NHG202501.txt","1.724","52.497051"
"S-LAK77","S","LAK","77","",,,,"NHG202501.txt","1.775353","50.308672"
"H-LAK77","H","LAK","77","",,,,"NHG202501.txt","1.775353","50.308672"
"S-KF6","S","KF","6","",,,,"NHG202501.txt","1.517414","52.157709"
"H-KF6","H","KF","6","",,,,"NHG202501.txt","1.517414","52.157709"
"S-QF14","S","QF","14","",,,,"NHG202501.txt","1.595504","39.203759"
"H-QF14","H","QF","14","",,,,"NHG202501.txt","1.595504","39.203759"
"S-QF50","S","QF","50","",,,,"NHG202501.txt","1.581438","40.913154"
"H-QF50","H","QF","50","",,,,"NHG202501.txt","1.581438","40.913154"
"S-F1","S","F","1","",,,,"NHG202501.txt","1.603419","37.999741"
"H-F1","H","F","1","",,,,"NHG202501.txt","1.603419","37.999741"
"S-F4","S","F","4","",,,,"NHG202501.txt","1.620045","36.334097"
"H-F4","H","F","4","",,,,"NHG202501.txt","1.620045","36.334097"
"S-F13","S","F","13","",,,,"NHG202501.txt","1.625879","35.673663"
"H-F13","H","F","13","",,,,"NHG202501.txt","1.625879","35.673663"
"S-ZF1","S","ZF","1","",,,,"NHG202501.txt","1.647696","33.849224"
"H-ZF1","H","ZF","1","",,,,"NHG202501.txt","1.647696","33.849224"
"S-ZF1B","S","ZF","1","B",,,,"NHG202501.txt","1.647683","33.853976"
